agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total,price,in_2023_dollars
State Police: Oswego County,2019-07-01,New York,0,NY337SD,0,0,0,0,0,0,0,0,0,60,160,40,0,10,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,371852674,74670,0,735362,0,114416207,75519,0,29795887,6301,0,0,0,0,0,0,0,6,81,0,0,805680794,0,0,0,0,358,0,0,1,306301722,383,23837,262203809,1024978527,0,0,0,0,0,0,68711,0,0,0,0,0,1110790680,0,0,11766992,0,81,0,0,805680794,1,1.19183549339627
State Police: Oswego County,2019-08-01,New York,0,NY337SD,0,0,0,0,0,0,0,20,0,0,0,0,220,0,0,0,300,520,0,0,3370,3370,30,0,0,0,0,8000000,37,6500010,0,0,0,0,0,1073,405224,7151013,0,11918,119184,11918356,0,0,0,0,4767342,47673,0,477,1549386,12,214530397,23836710,0,119,0,0,0,0,0,0,0,0,0,0,0,96812797,0,0,0,0,0,131101904,26,0,858121555,34802,0,512489262,113403,158823998,511,703182941,501,0,8534,897630902,0,2383671,0,1,1.19183549339627
State Police: Oswego County,2019-09-01,New York,0,NY337SD,0,1900000,406000,0,0,0,2306000,0,0,0,150,27,0,0,4466,0,1000000,1004643,30,0,30,60,20,5000000,3490000,0,9,16115,0,10,0,1000100,0,300,0,919977817,7842,0,0,0,0,0,0,0,6,595917747,35993432,0,0,0,0,13,4,0,1114247,0,0,0,715101296,0,823081592,10,0,0,0,0,1947,0,1191835,0,119,59592,0,0,0,9535,0,1,1906937,35755,0,23836719,119184,1,3099,166857,0,0,60,5959,0,1,1.19183549339627
State Police: Oswego County,2019-10-01,New York,0,NY337SD,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,1000000,0,300,0,11,0,48,1061925425,0,0,0,0,91771333,0,4,1109598844,36897,0,199037,36580,0,0,117991714,3576698,131102,0,2528,0,1967,0,0,1589,0,0,0,0,32,595917747,23837,0,3576,0,251477,0,56016268,2,0,834284845,953,0,1060733589,0,20698607,0,119183549,44,0,0,23837,0,0,2,1,1.19183549339627
State Police: Oswego County,2019-11-01,New York,0,NY337SD,0,102000,322500,0,100000,600000,1124500,0,0,800,0,0,0,0,0,0,300000,300000,0,0,0,0,0,200000,200000,200000,200000,0,0,300000,1100000,0,18,4000000,2,19069368,0,0,0,0,0,0,0,143020266,1430,11918355,11918,0,357551,3575506,238,119184,0,0,0,0,0,0,0,1084570,715101296,0,1,0,0,0,0,0,2693548,476734197,5637,0,20368,367,55336922,476734197,359,488652552,184782,0,595917747,0,8080645,0,792463338,1967,0,0,0,0,0,1,1.19183549339627
State Police: Oswego County,2019-12-01,New York,0,NY337SD,6050000,22,0,0,3759000,10000,9819022,5,3549,0,0,9800000,263,0,0,100000,100000,10000263,0,0,100000,100000,490000,0,0,2,39000,0,0,0,0,2000000,6000000,2000000,0,0,0,6,0,0,0,54705249,925936995,1,284252765,0,0,47673,6076,834284845,0,0,1191835,0,0,0,0,2225,0,0,0,0,0,953480313,0,119183549,0,1191835,1192,119183549,0,83,13110,119184,47673428,11918356,2503,35755,0,0,0,119184,0,0,0,0,0,0,0,0,0,1,1.19183549339627
State Police: Oswego County,2020-01-01,New York,0,NY337SD,4,2,1,2,2,1,12,2,0,3,0,0,0,0,0,0,0,0,7,8,9,24,1,0,0,2,1,0,0,8,12,0,10800,0,2006350,0,0,0,0,0,0,0,2355,0,0,0,0,0,0,0,0,0,0,6605,0,0,0,0,6,1096077800,0,11773,234969,308455836,55,0,1113737,2455,506244311,0,0,6,11773124,3226,777026152,0,0,0,9983609,6122,23546,0,588656178,0,0,0,0,231641,0,2336,0,1,1.17731235192711
State Police: Oswego County,2020-02-01,New York,0,NY337SD,0,0,18,0,9000000,9500000,18500018,756600,5000000,0,0,0,1000000,0,0,0,1000,1001000,8668000,0,0,8668000,0,0,150,0,0,0,35000,0,0,40,0,0,0,57,941849882,2268328,11773124,235,0,0,0,1,0,11184,20,0,0,0,0,470924941,0,0,0,0,0,11773,105958113,824,1177312,588656,200143,2354625,117731235,1177,0,117731235,0,3532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,470924941,0,0,9089,1,1.17731235192711
State Police: Oswego County,2020-03-01,New York,0,NY337SD,8,0,2000000,7000000,0,38,9000046,0,0,360000,19760,12800,0,0,0,0,0,32560,0,1000000,2,1000002,53,0,0,0,0,0,0,0,0,0,0,0,0,0,3965423,0,135390920,122,0,2472356,106194,0,0,118,0,0,0,1617627,0,42906,1177312,0,0,0,0,0,0,389219464,470924941,0,7219,4120593,24,1059581117,0,0,0,0,588656,0,0,241,0,0,0,0,0,905,0,0,0,0,75347991,0,117731,0,5,0,1,1,1.17731235192711
State Police: Oswego County,2020-04-01,New York,0,NY337SD,0,10000,0,30000,90000,0,130000,0,0,20000,50000,40000,0,0,10000,100000,70000,270000,60000,0,40000,100000,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0,4632724,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,136568233,5,0,21545,838246,0,27,0,0,373208016,0,222512035,22606,0,0,52,2708,0,0,0,553336807,0,0,0,165424,11773,0,0,0,0,0,5394,0,559223,0,0,11773124,0,1,1.17731235192711
