agency,year,state,population,ORI,offenses_burglary_resident_day,offenses_burglary_resident_night,offenses_burglary_resident_unknown,offenses_burglary_nonresident_day,offenses_burglary_nonresident_night,offenses_burglary_nonresident_unknown,offenses_burglary_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_miscellaneous,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_picking_pocket,offenses_theft_purse_snatching,offenses_theft_shoplifting,offenses_theft_all_other,value_burglary_resident_night,value_burglary_resident_day,value_burglary_resident_unknown,value_burglary_nonresident_night,value_burglary_nonresident_day,value_burglary_nonresident_unknown,value_burglary_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_miscellaneous,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_picking_pocket,value_theft_purse_snatching,value_theft_shoplifting,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewelry_metal,value_stolen_livestock,value_stolen_local_motor_vehicle,value_stolen_miscellaneous,value_stolen_office_equipment,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_household_good,value_recovered_jewelry_metal,value_recovered_livestock,value_recovered_local_motor_vehicle,value_recovered_miscellaneous,value_recovered_office_equipment,value_recovered_tv_and_radio,value_recovered_total
East Taylor Township Police Department,1993,Pennsylvania,3118,PA01126,1,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,8,2,4,14,1,0,0,2,3,0,0,2,6,0,211,264,1687,0,0,2162,0,0,0,0,0,0,0,0,0,0,0,356,346,6043,6745,8907,40,0,0,2913,2909,0,0,97,787,42,0,211,84,0,1316,0,0,5189,0,2065,8907,42,0,0,0,0,0,0,0,76,0,0,118
East Taylor Township Police Department,1992,Pennsylvania,3105,PA01126,1,0,7,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,6,5,2,13,2,0,0,3,3,0,0,2,3,0,1086,1792,0,2226,651,5755,0,0,0,0,0,0,0,0,0,0,0,908,1694,1162,3763,9518,352,0,0,869,467,0,0,35,2041,803,0,1303,72,0,1303,0,0,5168,0,869,9518,0,0,0,0,0,1303,0,0,0,0,0,1303
East Taylor Township Police Department,1991,Pennsylvania,3093,PA01126,2,2,0,3,1,0,8,0,0,0,0,1,0,0,0,0,0,1,16,11,6,33,2,0,3,4,3,0,2,10,9,3266,7622,0,1114,2756,0,14759,0,0,0,0,181,0,0,0,0,0,181,839,2452,8759,12050,26991,248,0,1398,924,282,0,347,5989,2862,2271,506,1145,0,0,0,0,0,15594,0,7475,26991,0,0,0,0,0,0,0,0,1264,0,0,1264
East Taylor Township Police Department,1990,Pennsylvania,3073,PA01126,3,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,13,6,2,21,2,1,0,2,1,0,1,2,12,3265,4687,0,0,0,0,7952,0,0,0,0,0,0,0,0,0,0,0,399,1679,2659,4736,12689,1166,408,0,2076,366,0,135,26,560,3542,2,1884,0,0,2565,0,0,2507,0,2187,12689,0,0,182,0,0,0,0,0,0,0,462,644
East Taylor Township Police Department,1989,Pennsylvania,2749,PA01126,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,6,3,0,9,1,2,0,2,1,0,1,0,2,0,0,0,192,0,0,192,0,0,0,0,0,0,0,0,0,0,0,371,538,0,909,1101,74,329,0,243,25,0,86,0,152,135,0,7,0,0,0,0,0,959,0,0,1101,0,0,0,0,0,0,0,0,0,0,0,0
East Taylor Township Police Department,1988,Pennsylvania,2812,PA01126,0,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,5,6,4,15,1,0,0,5,0,0,0,0,9,15923,0,0,2108,0,0,18031,0,0,0,0,0,0,0,0,0,0,0,381,1806,12362,14550,32581,64,0,0,1559,0,0,0,0,12927,0,0,193,1134,0,773,39,0,29373,0,1069,32581,0,0,0,0,0,773,0,1288,0,0,0,2061
East Taylor Township Police Department,1987,Pennsylvania,2831,PA01126,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,3,4,2,9,2,0,0,0,0,0,0,1,6,0,0,0,255,0,335,590,0,0,0,0,0,0,0,0,0,0,0,62,979,2413,3454,4044,1394,0,0,0,0,0,0,40,2019,0,40,0,0,0,0,0,0,3682,0,322,4044,0,0,0,0,0,0,0,0,0,0,0,0
East Taylor Township Police Department,1986,Pennsylvania,2985,PA01126,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,973,0,5254,0,0,6227,0,0,0,0,0,0,0,0,0,0,0,0,347,19459,19807,26034,347,0,0,0,0,0,0,0,19459,0,0,19876,0,0,2224,0,0,459,0,3475,26034,0,0,0,0,0,0,0,0,0,0,0,0
East Taylor Township Police Department,1985,Pennsylvania,3144,PA01126,5,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,6,2,13,1,1,1,1,3,0,0,0,6,3663,8390,0,0,0,0,12053,0,0,0,0,0,0,0,0,0,0,0,326,1459,6898,8682,20735,283,99,156,212,2091,0,0,0,5841,0,0,6512,1841,79,425,0,0,11098,0,779,20735,0,0,0,0,79,0,0,0,99,0,0,178
East Taylor Township Police Department,1984,Pennsylvania,3157,PA01126,0,1,0,0,5,0,6,2,0,0,0,0,0,0,0,0,0,0,9,5,3,17,1,3,0,3,3,0,1,1,5,2434,0,0,4136,0,0,6570,2200,0,0,0,0,0,0,0,0,0,0,331,1423,2798,4552,13322,249,865,0,279,1534,0,235,18,1373,0,47,1255,176,0,0,0,2200,9395,0,249,13322,0,29,0,0,0,0,0,1467,865,0,0,2361
East Taylor Township Police Department,1983,Pennsylvania,3312,PA01126,0,12,0,1,0,0,13,2,0,2,0,0,0,0,0,0,0,0,6,9,5,20,7,2,1,2,2,0,0,0,6,12772,0,0,0,229,0,13002,21721,0,0,0,0,0,0,0,0,0,0,376,2496,7709,10582,45304,4751,428,1989,2068,887,0,0,0,459,0,0,1820,0,0,0,0,21721,20601,0,1163,45304,0,0,0,0,0,0,0,2447,1756,0,1163,5366
East Taylor Township Police Department,1982,Pennsylvania,3304,PA01126,3,6,0,0,4,0,13,1,0,0,0,0,0,0,0,0,0,0,10,9,5,24,7,1,0,3,3,0,0,0,10,3663,4263,0,17025,0,0,24951,15788,0,0,0,0,0,0,0,0,0,0,499,3439,4989,8926,49665,3331,316,0,303,1452,0,0,0,3524,2210,0,3407,474,316,900,0,15788,5311,0,21260,49665,0,0,0,0,0,0,0,15788,710,0,474,16972
East Taylor Township Police Department,1981,Pennsylvania,3304,PA01126,2,2,1,0,1,0,6,4,1,0,0,0,1,0,0,0,0,1,10,6,4,20,1,3,2,5,2,1,0,0,6,3130,2198,1005,101,0,0,6434,43565,0,0,0,0,426,0,0,0,0,426,536,2322,4169,7027,57452,184,1605,84,1702,7,804,0,0,2641,0,0,4554,0,0,0,0,43565,3928,0,5405,57452,0,0,15415,0,0,0,0,38538,536,0,0,54489
East Taylor Township Police Department,1980,Pennsylvania,3293,PA01126,0,2,4,0,1,0,7,2,0,0,1,0,0,0,0,0,0,1,12,8,10,30,5,3,0,8,8,0,0,0,6,3291,0,425,10652,0,0,14368,7395,0,0,14790,0,0,0,0,0,0,14790,917,3531,10819,15267,51820,773,555,0,3609,8659,0,0,0,1671,0,0,17999,1109,0,1738,0,7395,21841,0,1738,51820,0,0,14886,0,0,0,0,7395,4803,0,1109,28193
East Taylor Township Police Department,1979,Pennsylvania,3494,PA01126,0,5,0,0,1,0,6,3,0,3,0,0,0,0,0,0,0,0,6,6,5,17,6,0,0,0,3,0,0,0,8,67805,0,0,75572,0,0,143377,52732,0,0,0,0,0,0,0,0,0,0,340,3161,21912,25413,221522,1570,0,0,0,4165,0,0,0,19678,0,0,1343,0,67175,0,0,52732,100271,0,0,221522,0,0,64937,0,0,0,0,52732,75572,0,0,193241
East Taylor Township Police Department,1978,Pennsylvania,3632,PA01126,1,15,5,0,4,1,26,0,0,0,0,1,0,0,0,1,0,2,16,6,1,23,3,4,0,3,0,0,5,0,8,9118,1868,4858,1168,0,37,17049,0,0,0,0,93,0,0,0,1868,0,1962,1317,3270,2335,6922,25933,1023,794,0,1752,0,0,799,0,2555,0,0,7114,1471,4251,3293,0,0,6838,0,2966,25933,0,0,0,0,0,0,0,0,444,0,0,444
