cohort,school_ID_num,school_name,school_type,program,degree_type,number_people_in_cohort,median_debt,mean_debt
2015_2016,001437,Catholic University of America (the),Private,Mechanical Engineering.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Mechanical Engineering.,Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Mechanical Engineering.,Bachelor's Degree,48,26224,22899
2016_2017,001437,Catholic University of America (the),Private,Mechanical Engineering.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Mechanical Engineering.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Medieval and Renaissance Studies.,Bachelor's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Medieval and Renaissance Studies.,Post-baccalaureate Certificate,,,
2015_2016,001437,Catholic University of America (the),Private,Medieval and Renaissance Studies.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Medieval and Renaissance Studies.,Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Medieval and Renaissance Studies.,Bachelor's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Medieval and Renaissance Studies.,Post-baccalaureate Certificate,,,
2016_2017,001437,Catholic University of America (the),Private,Medieval and Renaissance Studies.,Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Medieval and Renaissance Studies.,Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics.",Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics.",Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics.",Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics.",Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Multi/Interdisciplinary Studies, Other.",Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,"Multi/Interdisciplinary Studies, Other.",Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Multi/Interdisciplinary Studies, Other.",Master's Degree,,,
2016_2017,001437,Catholic University of America (the),Private,"Multi/Interdisciplinary Studies, Other.",Doctoral Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Music.,Bachelor's Degree,56,27000,23316
2015_2016,001437,Catholic University of America (the),Private,Music.,Post-baccalaureate Certificate,,,
2015_2016,001437,Catholic University of America (the),Private,Music.,Master's Degree,,,
2015_2016,001437,Catholic University of America (the),Private,Music.,Doctoral Degree,,,
2016_2017,001437,Catholic University of America (the),Private,Music.,Bachelor's Degree,39,27000,24988
