ori,ori9,fips_state_county_code,crosswalk_agency_name,census_name
KS02803,KS0280300,20055,Garden City Comm College Campus Pd Garden City,Butler County Community College
KS02802,KS0280200,20055,Holcomb Police Department,Holcomb City
KS02800,KS0280000,20055,Finney County Sheriff's Office,Finney County
KS02902,KS0290200,20057,Bucklin Police Dept,Bucklin City
KS02901,KS0290100,20057,Dodge City Police Department,Dodge City City
KS02903,KS0290300,20057,Spearville Police Department,Spearville City
KS02900,KS0290000,20057,Ford County Sheriff's Office,Ford County
KS03001,KS0300100,20059,Ottawa Police Department,Ottawa City
KS03004,KS0300400,20059,Pomona Pd,Pomona City
KS03006,KS0300600,20059,Richmond Police Department,Richmond City
KS03002,KS0300200,20059,Wellsville Police Department,Wellsville City
KS03000,KS0300000,20059,Franklin County Sheriff's Office,Franklin County
KS03007,KS0300700,20059,Franklin County Drug Enforcement Unit Ottawa,Franklin County
KS03102,KS0310200,20061,Grandview Plaza Police Department,Grandview Plaza City
KS03101,KS0310100,20061,Junction City Police Department,Junction City City
KS03100,KS0310000,20061,Geary County Sheriff's Office,Geary County
KS03201,KS0320100,20063,Quinter Police Dept,Quinter City
KS03200,KS0320000,20063,Gove County Sheriff's Office,Gove County
KS03301,KS0330100,20065,Hill City Police Department,Hill City City
KS03300,KS0330000,20065,Graham County Sheriff's Office,Graham County
KS03401,KS0340100,20067,Ulysses Police Department,Ulysses City
KS03400,KS0340000,20067,Grant County Sheriff's Office,Grant County
KS03501,KS0350100,20069,Cimarron Pd,Cimarron City
KS03502,KS0350200,20069,Ensign Pd,Ensign City
KS03500,KS0350000,20069,Gray County Sheriff's Office,Gray County
KS03600,KS0360000,20071,Greeley County Sheriff's Office,Greeley County Unified Government
KS03601,KS0360100,20071,Tribune Pd,Greeley County Unified Government
KS03701,KS0370100,20073,Eureka Pd,Eureka City
KS03702,KS0370200,20073,Madison Pd,Madison City
KS03700,KS0370000,20073,Greenwood County Sheriff's Office,Greenwood County
KS03800,KS0380000,20075,Hamilton County Sheriff's Office,Hamilton County
KS03901,KS0390100,20077,Anthony Police Department,Anthony City
KS03902,KS0390200,20077,Attica Police Department,Attica City
KS03903,KS0390300,20077,Harper Police Department,Harper City
KS03900,KS0390000,20077,Harper County Sheriff's Office,Harper County
KS04005,KS0400500,20079,Burrton Police Department,Burrton City
KS04003,KS0400300,20079,Halstead Police Department,Halstead City
KS04002,KS0400200,20079,Hesston Police Department,Hesston City
KS04001,KS0400100,20079,Newton Police Department,Newton City
KS04006,KS0400600,20079,North Newton Police Department,North Newton City
KS04004,KS0400400,20079,Sedgwick Police Department,Sedgwick City
KS04007,KS0400700,20079,Walton Police Department,Walton City
KS04000,KS0400000,20079,Harvey County Sheriff's Office,Harvey County
KS04102,KS0410200,20081,Satanta Pd,Satanta City
KS04101,KS0410100,20081,Sublette Pd,Sublette City
KS04100,KS0410000,20081,Haskell County Sheriff's Office,Haskell County
KS04200,KS0420000,20083,Hodgeman County Sheriff's Office,Hodgeman County
KS04303,KS0430300,20085,Denison Police Department,Denison City
KS04301,KS0430100,20085,Holton Police Department,Holton City
KS04302,KS0430200,20085,Hoyt Police Department Hoyt,Hoyt City
KSDI002,KSDI00200,20085,Prairie Band Potawatomi Tribal Police,Prairie Band Potawatomi Indians
KS04304,KS0430400,20085,Mayetta Police Department,Mayetta City
KS04300,KS0430000,20085,Jackson County Sheriff's Office,Jackson County
KS04404,KS0440400,20087,Mc Louth Pd,Mclouth City
KS04403,KS0440300,20087,Meriden Police Dept,Meriden City
KS04405,KS0440500,20087,Nortonville Pd,Nortonville City
KS04406,KS0440600,20087,Oskaloosa Police Dept,Oskaloosa City
KS04401,KS0440100,20087,Perry State Park Ranger Perry,State Of Kansas
KS04409,KS0440900,20087,Ozawkie Police Department,Ozawkie City
KS04408,KS0440800,20087,Perry Police Department,Perry City
KS04402,KS0440200,20087,Valley Falls Police Department,Valley Falls City
KS04407,KS0440700,20087,Winchester Pd,Winchester City
KS04400,KS0440000,20087,Jefferson County Sheriff's Office,Jefferson County
KS04500,KS0450000,20089,Jewell County Sheriff's Office,Jewell County
KS04619,KS0461900,20091,Edgerton Pd,Edgerton City
KS04601,KS0460100,20091,Fairway Police Department,Fairway City
KS04612,KS0461200,20091,Gardner Department Of Public Safety,Gardner City
KS04624,KS0462400,20091,Lake Quivira Police Department,Lake Quivira City
KS04602,KS0460200,20091,Leawood Police Department,Leawood City
KS04610,KS0461000,20091,Lenexa Police Department,Lenexa City
KS04603,KS0460300,20091,Merriam Police Department,Merriam City
KS04604,KS0460400,20091,Mission Police Department,Mission City
KS04613,KS0461300,20091,Mission Hills Police Department,Mission Hills City
KS04622,KS0462200,20091,Mission Woods Police Department,Mission Woods City
KS04605,KS0460500,20091,Olathe Police Department,Olathe City
KS04606,KS0460600,20091,Overland Park Police Department,Overland Park City
KS04607,KS0460700,20091,Prairie Village Police Department,Prairie Village City
KS04608,KS0460800,20091,Roeland Park Police Department,Roeland Park City
KS04609,KS0460900,20091,Shawnee Police Department,Shawnee City
KS04625,KS0462500,20091,Shawnee Mission Public Schools Police Dept,Shawnee Mission Unified School District 512
KS04617,KS0461700,20091,Spring Hill Police Department,Spring Hill City
KS04611,KS0461100,20091,Westwood Police Department,Westwood City
KS04623,KS0462300,20091,Westwood Hills Pd,Westwood Hills City
KS04626,KS0462600,20091,Blue Valley Usd #229 Police Department,Blue Valley Unified School District 229
KS04600,KS0460000,20091,Johnson County Sheriff's Office,Johnson County
KS04620,KS0462000,20091,Johnson County Park Police,Johnson County
KS04700,KS0470000,20093,Kearny County Sheriff's Office,Kearny County
KS04801,KS0480100,20095,Kingman Police Department,Kingman City
KS04803,KS0480300,20095,Norwich Police Department,Norwich City
KS04800,KS0480000,20095,Kingman County Sheriff's Office,Kingman County
KS04900,KS0490000,20097,Kiowa County Sheriff's Office,Kiowa County
KS05004,KS0500400,20099,Altamont Police Department,Altamont City
KS05003,KS0500300,20099,Chetopa Police Department,Chetopa City
KS05005,KS0500500,20099,Edna Pd,Edna City
KS05006,KS0500600,20099,Mound Valley Pd,Mound Valley City
KS05002,KS0500200,20099,Oswego Police Department,Oswego City
KS05001,KS0500100,20099,Parsons Police Department,Parsons City
KS05000,KS0500000,20099,Labette County Sheriff's Office,Labette County
KS05100,KS0510000,20101,Lane County Sheriff's Office,Lane County
KS05205,KS0520500,20103,Basehor Police Department,Basehor City
KS05203,KS0520300,20103,Lansing Police Department,Lansing City
KS05201,KS0520100,20103,Leavenworth Police Department,Leavenworth City
KS05202,KS0520200,20103,Tonganoxie Police Department,Tonganoxie City
KS05200,KS0520000,20103,Leavenworth County Sheriff's Office,Leavenworth County
KS05300,KS0530000,20105,Lincoln County Sheriff's Office,Lincoln County
KS05403,KS0540300,20107,La Cygne Police Department,La Cygne City
KS05405,KS0540500,20107,Linn Valley Police Department,Linn Valley City
KS05401,KS0540100,20107,Mound City Police Department,Mound City City
KS05404,KS0540400,20107,Parker Pd,Parker City
KS05402,KS0540200,20107,Pleasanton Police Department,Pleasanton City
KS05400,KS0540000,20107,Linn County Sheriff's Office,Linn County
KS05501,KS0550100,20109,Oakley Police Department,Oakley City
KS05500,KS0550000,20109,Logan County Sheriff's Office,Logan County
KS05603,KS0560300,20111,Americus Pd,Americus City
KS05602,KS0560200,20111,Emporia State University Police Department,State Of Kansas
KS05601,KS0560100,20111,Emporia Police Department,Emporia City
KS05600,KS0560000,20111,Lyon County Sheriff's Office,Lyon County
KS05709,KS0570900,20113,Canton Police Department,Canton City
KS05703,KS0570300,20113,Galva Police Department,Galva City
KS05708,KS0570800,20113,Inman Police Department,Inman City
KS05702,KS0570200,20113,Lindsborg Police Department,Lindsborg City
KS05701,KS0570100,20113,Mcpherson Police Department,Mcpherson City
KS05706,KS0570600,20113,Marquette Police Department,Marquette City
KS05704,KS0570400,20113,Moundridge Police Department,Moundridge City
KS05700,KS0570000,20113,Mcpherson County Sheriff's Office,Mcpherson County
KS05806,KS0580600,20115,Burns Police Department,Burns City
KS05804,KS0580400,20115,Florence Police Department,Florence City
KS05805,KS0580500,20115,Goessel Police Department Goessel,Goessel City
KS05801,KS0580100,20115,Hillsboro Police Department,Hillsboro City
KS05802,KS0580200,20115,Marion Police Department,Marion City
KS05803,KS0580300,20115,Peabody Police Department,Peabody City
KS05800,KS0580000,20115,Marion County Sheriff's Office,Marion County
KS05902,KS0590200,20117,Blue Rapids Police Department,Blue Rapids City
KS05903,KS0590300,20117,Frankfort Police Dept,Frankfort City
KS05901,KS0590100,20117,Marysville Police Department,Marysville City
KS05904,KS0590400,20117,Waterville Police Department,Waterville City
KS05900,KS0590000,20117,Marshall County Sheriff's Office,Marshall County
KS06001,KS0600100,20119,Meade Police Department,Meade City
KS06000,KS0600000,20119,Meade County Sheriff's Office,Meade County
KS06103,KS0610300,20121,Louisburg Police Department,Louisburg City
KS06102,KS0610200,20121,Osawatomie Department Of Public Safety,Osawatomie City
KS06101,KS0610100,20121,Paola Police Department,Paola City
KS06100,KS0610000,20121,Miami County Sheriff's Office,Miami County
KS06201,KS0620100,20123,Beloit Police Department,Beloit City
KS06203,KS0620300,20123,Cawker City Police Department,Cawker City City
KS06200,KS0620000,20123,Mitchell County Sheriff's Office,Mitchell County
KS06304,KS0630400,20125,Caney Police Department,Caney City
KS06303,KS0630300,20125,Cherryvale Police Department,Cherryvale City
KS06301,KS0630100,20125,Coffeyville Police Department,Coffeyville City
KS06302,KS0630200,20125,Independence Police Department,Independence City
KS06300,KS0630000,20125,Montgomery County Sheriff's Office,Montgomery County
KS06401,KS0640100,20127,Council Grove Police Department,Council Grove City
KS06402,KS0640200,20127,White City Pd,White City City
KS06400,KS0640000,20127,Morris County Sheriff's Office,Morris County
KS06501,KS0650100,20129,Elkhart Police Dept,Elkhart City
KS06502,KS0650200,20129,Rolla Police Department,Rolla City
KS06500,KS0650000,20129,Morton County Sheriff's Office,Morton County
KS06601,KS0660100,20131,Sabetha Police Department,Sabetha City
KS06602,KS0660200,20131,Seneca Police Department,Seneca City
KS06600,KS0660000,20131,Nemaha County Sheriff's Office,Nemaha County
KS06701,KS0670100,20133,Chanute Police Department,Chanute City
KS06702,KS0670200,20133,Erie Police Department,Erie City
KS06700,KS0670000,20133,Neosho County Sheriff's Office,Neosho County
KS06801,KS0680100,20135,Ness City Pd,Ness City City
KS06800,KS0680000,20135,Ness County Sheriff's Office,Ness County
KS06901,KS0690100,20137,Norton Police Department,Norton City
KS06900,KS0690000,20137,Norton County Sheriff's Office,Norton County
KS07002,KS0700200,20139,Burlingame Police Department,Burlingame City
KS07003,KS0700300,20139,Carbondale Police Department,Carbondale City
KS07004,KS0700400,20139,Lyndon Police Department,Lyndon City
KS07008,KS0700800,20139,Melvern Pd,Melvern City
KS07001,KS0700100,20139,Osage City Police Department,Osage City
KS07005,KS0700500,20139,Overbrook Police Department,Overbrook City
KS07007,KS0700700,20139,Quenemo Pd,Quenemo City
KS07006,KS0700600,20139,Scranton Police Department,Scranton City
KS07000,KS0700000,20139,Osage County Sheriff's Office,Osage County
KS07102,KS0710200,20141,Downs Pd,Downs City
KS07101,KS0710100,20141,Osborne Police Department,Osborne City
KS07100,KS0710000,20141,Osborne County Sheriff's Office,Osborne County
KS07201,KS0720100,20143,Delphos Pd,Delphos City
KS07202,KS0720200,20143,Minneapolis Police Department,Minneapolis City
KS07200,KS0720000,20143,Ottawa County Sheriff's Office,Ottawa County
KS07301,KS0730100,20145,Larned Police Department,Larned City
KS07300,KS0730000,20145,Pawnee County Sheriff's Office,Pawnee County
KS07402,KS0740200,20147,Marshals Office Logan,Logan City
KS07401,KS0740100,20147,Phillipsburg Pd,Phillipsburg City
KS07400,KS0740000,20147,Phillips County Sheriff's Office,Phillips County
KS07506,KS0750600,20149,Havensville Police Department,Havensville City
KS07505,KS0750500,20149,Onaga Police Department,Onaga City
KS07504,KS0750400,20149,St. George Police Department,St George City
KS07501,KS0750100,20149,St. Marys Police Department,St Marys City
KS07502,KS0750200,20149,Wamego Police Department,Wamego City
KS07500,KS0750000,20149,Pottawatomie County Sheriff's Office,Pottawatomie County
KS07601,KS0760100,20151,Pratt Police Department,Pratt City
KS07602,KS0760200,20151,Kansas Dept Of Wildlife & Parks,State Of Kansas
KS07600,KS0760000,20151,Pratt County Sheriff's Office,Pratt County
KS07701,KS0770100,20153,Atwood Police Department,Atwood City
KS07700,KS0770000,20153,Rawlins County Sheriff's Office,Rawlins County
KS07806,KS0780600,20155,Buhler Police Department,Buhler City
KS07803,KS0780300,20155,Haven Police Department,Haven City
KS07801,KS0780100,20155,Hutchinson Police Department,Hutchinson City
KS07804,KS0780400,20155,Nickerson Police Department,Nickerson City
KS07808,KS0780800,20155,Marshals Office Pretty Prairie,Pretty Prairie City
KS07802,KS0780200,20155,South Hutchinson Police Department,South Hutchinson City
KS07800,KS0780000,20155,Reno County Sheriff's Office,Reno County
KS07901,KS0790100,20157,Belleville Police Department,Belleville City
KS07900,KS0790000,20157,Republic County Sheriff's Office,Republic County
KS08003,KS0800300,20159,Bushton Police Dept,Bushton City
KS08006,KS0800600,20159,Chase Police Department,Chase City
KS08004,KS0800400,20159,Geneseo Pd,Geneseo City
KS08005,KS0800500,20159,Little River Police Department,Little River City
KS08001,KS0800100,20159,Lyons Police Department,Lyons City
KS08002,KS0800200,20159,Sterling Police Department,Sterling City
KS08000,KS0800000,20159,Rice County Sheriff's Office,Rice County
KS08102,KS0810200,20161,Kansas State University Police Department,State Of Kansas
KS08101,KS0810100,20161,Manhattan Pd,Manhattan City
KS08100,KS0810000,20161,Riley County Police Department,Riley County
KS08201,KS0820100,20163,Plainville Police Department,Plainville City
KS08202,KS0820200,20163,Stockton Police Department,Stockton City
KS08200,KS0820000,20163,Rooks County Sheriff's Office,Rooks County
KS08301,KS0830100,20165,La Crosse Police Department,La Crosse City
KS08300,KS0830000,20165,Rush County Sheriff's Office,Rush County
KS08401,KS0840100,20167,Russell Police Department,Russell City
KS08400,KS0840000,20167,Russell County Sheriff's Office,Russell County
KS08502,KS0850200,20169,Police Department Assaria,Assaria City
KS08501,KS0850100,20169,Salina Police Department,Salina City
KS08500,KS0850000,20169,Saline County Sheriff's Office,Saline County
KS08601,KS0860100,20171,Scott City Police Department,Scott City
KS08600,KS0860000,20171,Scott County Sheriff's Office,Scott County
KS08720,KS0872000,20173,Andale Police Department,Andale City
KS08718,KS0871800,20173,Bel Aire Police Department,Bel Aire City
KS08725,KS0872500,20173,Bentley Police Department,Bentley City
KS08709,KS0870900,20173,Cheney Police Department,Cheney City
KS08710,KS0871000,20173,Clearwater Police Department,Clearwater City
KS08707,KS0870700,20173,Colwich Police Department,Colwich City
KS08701,KS0870100,20173,Derby Police Department,Derby City
KS08708,KS0870800,20173,Eastborough Police Department,Eastborough City
KS08713,KS0871300,20173,Garden Plain Police Department,Garden Plain City
KS08711,KS0871100,20173,Goddard Police Department,Goddard City
KS08724,KS0872400,20173,Goddard Usd #265 Police Department,Goddard Unified School District 265
KS08702,KS0870200,20173,Haysville Police Department,Haysville City
KS08721,KS0872100,20173,Kechi Police Department,Kechi City
KS08715,KS0871500,20173,Maize Police Department,Maize City
KS08723,KS0872300,20173,Maize Usd #266 Police Department,Maize Unified School District 266
KS08714,KS0871400,20173,Mount Hope Police Department,Mount Hope City
KS09603,KS0960300,20173,Mulvane Police Department,Mulvane City
KS08716,KS0871600,20173,Park City Police Department,Park City City
KS08705,KS0870500,20173,Valley Center Police Department,Valley Center City
KS08703,KS0870300,20173,Wichita Police Department,Wichita City
KS08706,KS0870600,20173,Wichita State University Police Department,State Of Kansas
KS08700,KS0870000,20173,Sedgwick County Sheriff's Office,Sedgwick County
KS08801,KS0880100,20175,Liberal Police Department,Liberal City
KS08803,KS0880300,20175,Liberal Usd #480 Police Department,Liberal Unified School District 480
KS08800,KS0880000,20175,Seward County Sheriff's Office,Seward County
KS08907,KS0890700,20177,Auburn Pd,Auburn City
KS08902,KS0890200,20177,Rossville Police Department,Rossville City
KS08903,KS0890300,20177,Silver Lake Police Department,Silver Lake City
KS08919,KS0891900,20177,Shawnee Heights Usd #450 Police,Shawnee Heights Unified School District 450
KS08913,KS0891300,20177,Kansas Racing & Gaming Commission - Security Divis,State Of Kansas
KS08904,KS0890400,20177,Kansas State Fire Marshal,State Of Kansas
KS08905,KS0890500,20177,Kansas Alcoholic Beverage Control Division,State Of Kansas
KS08908,KS0890800,20177,Topeka Usd #501 Police,Topeka Unified School District 501
KS08901,KS0890100,20177,Topeka Police Department,Topeka City
KS08910,KS0891000,20177,Kansas Securities Commissioner,State Of Kansas
KS08912,KS0891200,20177,Kansas Lottery Security Division,State Of Kansas
KSKBI00,KSKBI0000,20177,Kansas Bureau Of Investigation,State Of Kansas
KSKHP00,KSKHP0000,20177,Kansas Highway Patrol,State Of Kansas
KS08920,KS0892000,20177,Auburn-washburn Usd #437 Police Department,Auburn-washburn Unified School District 437
KS08918,KS0891800,20177,Washburn University Police,State Of Kansas
KS08909,KS0890900,20177,Topeka Fire Dept Fire Investigation Unit,Topeka City
KSKPAQ0,KSKPAQ000,20177,Kansas Dept Of Wildlife & Parks Park Div Topeka,State Of Kansas
KS08900,KS0890000,20177,Shawnee County Sheriff's Office,Shawnee County
KS08906,KS0890600,20177,Metropolitan Topeka Airport Authority Police & Fir,Metropolitan Topeka Airport Authority
KS08917,KS0891700,20177,Seaman Usd #345 Security,Seaman Unified School District 345
KS09001,KS0900100,20179,Hoxie Police Department,Hoxie City
KS09000,KS0900000,20179,Sheridan County Sheriff's Office,Sheridan County
KS09101,KS0910100,20181,Goodland Police Department,Goodland City
KS09100,KS0910000,20181,Sherman County Sheriff's Office,Sherman County
KS09201,KS0920100,20183,Smith Center Police Department,Smith Center City
KS09200,KS0920000,20183,Smith County Sheriff's Office,Smith County
KS09303,KS0930300,20185,Macksville Police Department,Macksville City
KS09302,KS0930200,20185,St. John Police Department,St John City
KS09301,KS0930100,20185,Stafford Police Department,Stafford City
KS09300,KS0930000,20185,Stafford County Sheriff's Office,Stafford County
KS09400,KS0940000,20187,Stanton County Sheriff's Office,Stanton County
KS09501,KS0950100,20189,Hugoton Police Department,Hugoton City
KS09500,KS0950000,20189,Stevens County Sheriff's Office,Stevens County
KS09607,KS0960700,20191,Argonia Police Department,Argonia City
KS09602,KS0960200,20191,Belle Plaine Police Department,Belle Plaine City
KS09604,KS0960400,20191,Caldwell Police Department,Caldwell City
KS09605,KS0960500,20191,Conway Springs Police Department,Conway Springs City
KS09606,KS0960600,20191,Oxford Police Department,Oxford City
KS09608,KS0960800,20191,South Haven Police Dept,South Haven City
KS09601,KS0960100,20191,Wellington Police Department,Wellington City
KS09600,KS0960000,20191,Sumner County Sheriff's Office,Sumner County
KS09701,KS0970100,20193,Colby Police Department,Colby City
KS09700,KS0970000,20193,Thomas County Sheriff's Office,Thomas County
KS09801,KS0980100,20195,Wakeeney Police Department,Wakeeney City
KS09800,KS0980000,20195,Trego County Sheriff's Office,Trego County
KS09901,KS0990100,20197,Alma Police Department,Alma City
KS09903,KS0990300,20197,Alta Vista Police Department,Alta Vista City
KS09902,KS0990200,20197,Eskridge Police Department,Eskridge City
KS09905,KS0990500,20197,Maple Hill Police Department,Maple Hill City
KS09900,KS0990000,20197,Wabaunsee County Sheriff's Office,Wabaunsee County
KS10001,KS1000100,20199,Sharon Springs Pd,Sharon Springs City
KS10000,KS1000000,20199,Wallace County Sheriff's Office,Wallace County
KS10101,KS1010100,20201,Washington Pd,Washington City
KS10100,KS1010000,20201,Washington County Sheriff's Office,Washington County
KS10200,KS1020000,20203,Wichita County Sheriff's Office,Wichita County
KS10301,KS1030100,20205,Fredonia Police Department,Fredonia City
KS10302,KS1030200,20205,Neodesha Police Department,Neodesha City
KS10300,KS1030000,20205,Wilson County Sheriff's Office,Wilson County
KS10401,KS1040100,20207,Yates Center Police Department,Yates Center City
KS10400,KS1040000,20207,Woodson County Sheriff's Office,Woodson County
KS10501,KS1050100,20209,Bonner Springs Police Department,Bonner Springs City
KS10503,KS1050300,20209,Edwardsville Police Department,Edwardsville City
KS10502,KS1050200,20209,Kansas City Police Department,Wyandotte County And Kansas City Unified Governmen
KS10500,KS1050000,20209,Wyandotte County Sheriff's Office,Wyandotte County And Kansas City Unified Governmen
KS10507,KS1050700,20209,Kansas City Kansas Community College Campus Police,Kansas City Community College District
KS10504,KS1050400,20209,University Of Kansas Medical Center Police Dept,State Of Kansas
KS10505,KS1050500,20209,Wyandotte County Park Rangers,Wyandotte County And Kansas City Unified Governmen
KY00101,KY0010100,21001,Columbia Police Department,Columbia City
KYKSP15,KYKSP1500,21001,Sp Columbia,State Of Kentucky
KY00100,KY0010000,21001,Adair County Sheriff's Office,Adair County
KY001SP,KY001SP00,21001,Sp: Adair County,State Of Kentucky
KY00103,KY0010300,21001,Adair County Constable District 6,Adair County
KY00201,KY0020100,21003,Scottsville Police Department,Scottsville City
KY00200,KY0020000,21003,Allen County Sheriff's Office,Allen County
KY002SP,KY002SP00,21003,Sp: Allen County,State Of Kentucky
KY00301,KY0030100,21005,Lawrenceburg Police Department,Lawrenceburg City
KY00300,KY0030000,21005,Anderson County Sheriff's Office,Anderson County
KY003SP,KY003SP00,21005,Sp: Anderson County,State Of Kentucky
KY00302,KY0030200,21005,Anderson County Pd Lawrenceburg,Anderson County
KY00402,KY0040200,21007,Barlow Pd,Barlow City
KY00403,KY0040300,21007,La Center Police Department,La Center City
KY00401,KY0040100,21007,Wickliffe Pd,Wickliffe City
KY00400,KY0040000,21007,Ballard County Sheriff's Office,Ballard County
KY004SP,KY004SP00,21007,Sp: Ballard County,State Of Kentucky
KY00502,KY0050200,21009,Cave City Police Department,Cave City City
KY00501,KY0050100,21009,Glasgow Police Department,Glasgow City
KY00503,KY0050300,21009,Park City Pd,Park City
KY00500,KY0050000,21009,Barren County Sheriff's Office,Barren County
KY005SP,KY005SP00,21009,Sp: Barren County,State Of Kentucky
KY00511,KY0051100,21009,Barren County Drug Task Force,Barren County
KY00601,KY0060100,21011,Owingsville Police Department,Owingsville City
KY00600,KY0060000,21011,Bath County Sheriff's Office,Bath County
KY006SP,KY006SP00,21011,Sp: Bath County,State Of Kentucky
KY00701,KY0070100,21013,Middlesboro Police Department,Middlesborough City
KY00702,KY0070200,21013,Pineville Police Department,Pineville City
KY00700,KY0070000,21013,Bell County Sheriff's Office,Bell County
KY007SP,KY007SP00,21013,Sp: Bell County,State Of Kentucky
KY00802,KY0080200,21015,Florence Police Department,Florence City
KY00803,KY0080300,21015,Walton Pd,Walton City
KY00800,KY0080000,21015,Boone County Sheriff's Office,Boone County
KY00805,KY0080500,21015,Cincinnati/northern Kentucky Airport Police Dept,Kenton County
KY008SP,KY008SP00,21015,Sp: Boone County,State Of Kentucky
KY00801,KY0080100,21015,Boone County Pd Burlington,Boone County
KY00902,KY0090200,21017,Millersburg Police Department,Millersburg City
KY00903,KY0090300,21017,North Middletown Pd,North Middletown City
KY00901,KY0090100,21017,Paris Police Department,Paris City
KY00900,KY0090000,21017,Bourbon County Sheriff's Office,Bourbon County
KY009SP,KY009SP00,21017,Sp: Bourbon County,State Of Kentucky
KY01001,KY0100100,21019,Ashland Police Department,Ashland City
KYKSP14,KYKSP1400,21019,Sp Ashland,State Of Kentucky
KY01004,KY0100400,21019,Fivco Area Drug Enforcement Task Force Ashland,Ashland City
KY01002,KY0100200,21019,Catlettsburg Police Department,Catlettsburg City
KY01000,KY0100000,21019,Boyd County Sheriff's Office,Boyd County
KY010SP,KY010SP00,21019,Sp: Boyd County,State Of Kentucky
KY01003,KY0100300,21019,Boyd County Pd Ashland,Boyd County
KY01007,KY0100700,21019,Boyd County Constable District 2 Ashland,Boyd County
KY01101,KY0110100,21021,Danville Police Department,Danville City
KY01102,KY0110200,21021,Junction City Police Department,Junction City City
KY01103,KY0110300,21021,Perryville Police Department,Perryville City
KY01100,KY0110000,21021,Boyle County Sheriff's Office,Boyle County
KY011SP,KY011SP00,21021,Sp: Boyle County,State Of Kentucky
KY01201,KY0120100,21023,Augusta Police Department,Augusta City
KY01202,KY0120200,21023,Brooksville Police Department,Brooksville City
KY01200,KY0120000,21023,Bracken County Sheriff's Office,Bracken County
KY012SP,KY012SP00,21023,Sp: Bracken County,State Of Kentucky
KY01301,KY0130100,21025,Jackson Police Department,Jackson City
KY01300,KY0130000,21025,Breathitt County Sheriff's Office,Breathitt County
KY013SP,KY013SP00,21025,Sp: Breathitt County,State Of Kentucky
KY01402,KY0140200,21027,Cloverport Police Department,Cloverport City
KY01401,KY0140100,21027,Hardinsburg Police Department,Hardinsburg City
KY01403,KY0140300,21027,Irvington Police Department,Irvington City
KY01400,KY0140000,21027,Breckinridge County Sheriff's Office,Breckinridge County
KY014SP,KY014SP00,21027,Sp: Breckinridge County,State Of Kentucky
KY01505,KY0150500,21029,Hillview Police Department,Hillview City
KY01507,KY0150700,21029,Hunter Hollow Pd Louisville,Hunters Hollow City
KY01502,KY0150200,21029,Lebanon Junction Police Department,Lebanon Junction City
KY01503,KY0150300,21029,Mount Washington Police Department,Mount Washington City
KY01506,KY0150600,21029,Pioneer Village Police Department,Pioneer Village City
KY01501,KY0150100,21029,Shepherdsville Police Department,Shepherdsville City
KY01500,KY0150000,21029,Bullitt County Sheriff's Office,Bullitt County
KY015SP,KY015SP00,21029,Sp: Bullitt County,State Of Kentucky
KY01504,KY0150400,21029,Bullitt County Pd Shepherdsville,Bullitt County
KY01510,KY0151000,21029,Constable's Office District 3 Hillview,Bullitt County
KY01601,KY0160100,21031,Morgantown Police Department,Morgantown City
KY01600,KY0160000,21031,Butler County Sheriff's Office,Butler County
KY016SP,KY016SP00,21031,Sp: Butler County,State Of Kentucky
KY01701,KY0170100,21033,Princeton Police Department,Princeton City
KY01700,KY0170000,21033,Caldwell County Sheriff's Office,Caldwell County
KY017SP,KY017SP00,21033,Sp: Caldwell County,State Of Kentucky
KY01801,KY0180100,21035,Murray Police Department,Murray City
KY01802,KY0180200,21035,Murray State University Police Department,State Of Kentucky
KY01800,KY0180000,21035,Calloway County Sheriff's Office,Calloway County
KY018SP,KY018SP00,21035,Sp: Calloway County,State Of Kentucky
KY01907,KY0190700,21037,Alexandria Police Department,Alexandria City
KY01901,KY0190100,21037,Bellevue Police Department,Bellevue City
KY01909,KY0190900,21037,Cold Spring Police Department,Cold Spring City
KY01916,KY0191600,21037,Crestview Pd,Crestview City
KY01903,KY0190300,21037,Dayton Police Department,Dayton City
KY01904,KY0190400,21037,Fort Thomas Police Department,Fort Thomas City
KY01905,KY0190500,21037,Highland Heights Police Department,Highland Heights City
KY01915,KY0191500,21037,Northern Kentucky University Police Department,State Of Kentucky
KY01913,KY0191300,21037,Melbourne Pd,Melbourne City
KY01914,KY0191400,21037,Mentor Pd,Mentor City
KY01906,KY0190600,21037,Newport Police Department,Newport City
KY01910,KY0191000,21037,Silver Grove Police Department,Silver Grove City
KY01908,KY0190800,21037,Southgate Police Dept,Southgate City
KY01912,KY0191200,21037,Wilder Police Department,Wilder City
KY01902,KY0190200,21037,Campbell County Police Department,Campbell County
KY01900,KY0190000,21037,Campbell County Sheriff's Office,Campbell County
KY019SP,KY019SP00,21037,Sp: Campbell County,State Of Kentucky
KY02001,KY0200100,21039,Bardwell Police Department,Bardwell City
KY02000,KY0200000,21039,Carlisle County Sheriff's Office,Carlisle County
KY020SP,KY020SP00,21039,Sp: Carlisle County,State Of Kentucky
KY02101,KY0210100,21041,Carrollton Police Department,Carrollton City
KY02100,KY0210000,21041,Carroll County Sheriff's Office,Carroll County
KY021SP,KY021SP00,21041,Sp: Carroll County,State Of Kentucky
KY02201,KY0220100,21043,Grayson Police Department,Grayson City
KY02202,KY0220200,21043,Olive Hill Police Department,Olive Hill City
KY02200,KY0220000,21043,Carter County Sheriff's Office,Carter County
