agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Carter Lake Police Department,1984,Iowa,3583,IA07804,0,0,3,0,0,2,2,0,1,0,0,0,1,68,4,4,6,4,50,56,38,14,4,133,11,3,4,4,271,0,18,21,200,221,0,0,1,1,0,0,0,0,0,0,6,1,1,0,0,4,5,3,2,0,6,6,6,0,0,24,0,2,3,17,20
Carter Lake Police Department,1983,Iowa,3417,IA07804,0,0,2,0,0,0,0,0,5,5,0,0,0,59,1,1,9,11,37,71,54,10,7,142,12,9,2,1,289,0,22,27,225,252,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,2,8,6,2,0,7,5,2,3,0,25,0,3,3,20,23
Carter Lake Police Department,1982,Iowa,,IA07804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carter Lake Police Department,1981,Iowa,3407,IA07804,0,0,0,0,0,0,0,0,6,3,0,0,3,44,3,0,0,10,31,85,61,24,0,167,21,8,0,13,323,0,13,19,273,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,1980,Iowa,3420,IA07804,0,0,2,0,0,2,1,1,6,5,1,0,0,68,4,4,11,14,35,71,38,28,5,207,14,7,3,4,368,0,33,41,292,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,1979,Iowa,3558,IA07804,0,0,1,1,0,0,0,0,7,2,0,1,4,52,4,3,3,9,33,100,67,21,12,177,19,7,4,8,356,0,19,27,296,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,1978,Iowa,3679,IA07804,0,0,2,0,0,0,0,0,5,2,1,0,2,52,7,2,9,7,27,87,53,27,7,122,22,8,3,11,288,0,25,30,231,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,1977,Iowa,3900,IA07804,0,0,3,0,0,2,2,0,8,6,1,0,1,29,2,0,8,7,12,62,42,16,4,127,18,11,3,4,246,0,17,27,207,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,1976,Iowa,3236,IA07804,0,0,0,0,0,0,0,0,13,6,0,1,6,45,2,2,10,3,28,72,41,25,6,191,20,11,0,9,341,0,17,30,283,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,1975,Iowa,3381,IA07804,0,0,0,0,0,0,0,0,4,2,0,2,0,43,3,2,5,8,25,66,46,16,4,126,26,9,1,16,265,0,18,22,218,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,1974,Iowa,3297,IA07804,0,0,3,0,0,2,0,2,6,4,0,0,2,16,1,1,5,7,2,23,12,11,0,42,11,10,0,1,100,0,14,22,76,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
